District_Name,ID,Report Order,Region,Year,Month_Name,Month_Number,Wild_Salmon_Number,Wild_Salmon_Weight,Wild_Grilse_Number,Wild_Grilse_Weight_kg,Sea_Trout_Number,Sea_Trout_Weight_kg,Finnock_Number,Finnock_Weight_kg,Farmed_Salmon_Number,Farmed_Salmon_Weight_kg,Farmed_Grilse_Number,Farmed_Grilse_Weight_kg
Tweed,101,1,East,1952,April,4,1178,4419.8,2,4.08,24,39.92,0,0,0,0,0,0
Tweed,101,1,East,1952,August,8,75,274.42,28,52.16,20,37.19,0,0,0,0,0,0
Tweed,101,1,East,1952,February,2,592,2479.34,0,0,4,4.99,0,0,0,0,0,0
Tweed,101,1,East,1952,July,7,57,209.56,38,83.46,13,23.59,0,0,0,0,0,0
Tweed,101,1,East,1952,June,6,139,507.57,17,32.66,19,41.28,0,0,0,0,0,0
Tweed,101,1,East,1952,March,3,779,3180.59,0,0,18,22.68,0,0,0,0,0,0
Tweed,101,1,East,1952,May,5,842,3168.34,0,0,15,20.41,0,0,0,0,0,0
Tweed,101,1,East,1952,November,11,492,3622.39,2,8.16,27,61.23,0,0,0,0,0,0
Tweed,101,1,East,1952,October,10,254,1514.54,2,3.18,25,52.16,0,0,0,0,0,0
Tweed,101,1,East,1952,September,9,102,388.73,8,14.97,22,45.81,0,0,0,0,0,0
Tweed,101,1,East,1953,April,4,1430,5177.3,0,0,4,8.62,0,0,0,0,0,0
Tweed,101,1,East,1953,August,8,176,500.31,66,130.18,12,30.84,0,0,0,0,0,0
Tweed,101,1,East,1953,February,2,1039,4231.56,0,0,7,12.25,0,0,0,0,0,0
Tweed,101,1,East,1953,January,1,14,45.36,0,0,0,0,0,0,0,0,0,0
Tweed,101,1,East,1953,July,7,84,268.98,22,47.17,8,15.42,0,0,0,0,0,0
Tweed,101,1,East,1953,June,6,352,1187.5,13,24.95,15,16.78,0,0,0,0,0,0
Tweed,101,1,East,1953,March,3,1215,4718.72,0,0,7,13.15,0,0,0,0,0,0
Tweed,101,1,East,1953,May,5,1284,4169.42,1,2.27,3,4.99,0,0,0,0,0,0
Tweed,101,1,East,1953,November,11,202,1363.95,3,10.89,12,21.77,0,0,0,0,0,0
Tweed,101,1,East,1953,October,10,164,830.07,9,19.05,20,40.82,0,0,0,0,0,0
Tweed,101,1,East,1953,September,9,130,424.11,10,19.05,6,13.15,0,0,0,0,0,0
Tweed,101,1,East,1954,April,4,1618,5956.58,0,0,5,6.8,0,0,0,0,0,0
Tweed,101,1,East,1954,August,8,128,473.55,11,20.87,18,26.76,0,0,0,0,0,0
Tweed,101,1,East,1954,February,2,731,2849.92,0,0,2,4.54,0,0,0,0,0,0
Tweed,101,1,East,1954,July,7,194,720.76,19,41.28,7,16.78,0,0,0,0,0,0
Tweed,101,1,East,1954,June,6,688,2492.49,4,9.98,20,43.54,0,0,0,0,0,0
Tweed,101,1,East,1954,March,3,1703,6676.88,0,0,7,9.98,0,0,0,0,0,0
Tweed,101,1,East,1954,May,5,1776,6463.24,5,14.06,23,41.28,0,0,0,0,0,0
Tweed,101,1,East,1954,November,11,381,2644.9,6,21.77,39,87.54,0,0,0,0,0,0
Tweed,101,1,East,1954,October,10,220,1332.2,1,1.81,35,74.39,0,0,0,0,0,0
Tweed,101,1,East,1954,September,9,142,583.32,4,9.53,24,61.69,0,0,0,0,0,0
Tweed,101,1,East,1955,April,4,1573,5756.09,0,0,13,27.22,0,0,0,0,0,0
Tweed,101,1,East,1955,August,8,12,44.45,6,12.7,6,8.62,0,0,0,0,0,0
Tweed,101,1,East,1955,February,2,755,3234.11,0,0,9,19.05,0,0,0,0,0,0
Tweed,101,1,East,1955,July,7,36,125.19,7,17.24,18,24.95,0,0,0,0,0,0
Tweed,101,1,East,1955,June,6,290,988.38,1,2.72,63,29.94,0,0,0,0,0,0
Tweed,101,1,East,1955,March,3,1448,5676.25,0,0,12,27.22,0,0,0,0,0,0
Tweed,101,1,East,1955,May,5,1722,9060.96,0,0,24,36.74,0,0,0,0,0,0
Tweed,101,1,East,1955,November,11,422,3031.36,10,24.95,22,46.27,0,0,0,0,0,0
Tweed,101,1,East,1955,October,10,308,1566.71,10,24.49,25,43.54,0,0,0,0,0,0
Tweed,101,1,East,1955,September,9,49,171,2,5.9,6,10.43,0,0,0,0,0,0
Tweed,101,1,East,1956,April,4,807,2926.12,0,0,9,20.87,0,0,0,0,0,0
Tweed,101,1,East,1956,August,8,89,279.41,21,44.45,35,61.23,0,0,0,0,0,0
Tweed,101,1,East,1956,February,2,891,3474.97,0,0,12,18.14,0,0,0,0,0,0
Tweed,101,1,East,1956,July,7,63,221.35,19,37.65,31,34.02,0,0,0,0,0,0
Tweed,101,1,East,1956,June,6,321,1036.46,10,22.68,22,24.95,0,0,0,0,0,0
Tweed,101,1,East,1956,March,3,1263,4667.47,0,0,50,98.43,0,0,0,0,0,0
Tweed,101,1,East,1956,May,5,873,2963.32,1,3.18,32,29.03,0,0,0,0,0,0
Tweed,101,1,East,1956,November,11,1015,7269.72,88,341.56,23,49.9,0,0,0,0,0,0
Tweed,101,1,East,1956,October,10,864,5892.16,35,128.37,42,94.35,0,0,0,0,0,0
Tweed,101,1,East,1956,September,9,159,738.9,17,43.54,33,54.43,0,0,0,0,0,0
Tweed,101,1,East,1957,April,4,2322,7849.42,1,1.81,24,46.72,0,0,0,0,0,0
Tweed,101,1,East,1957,August,8,164,533.88,29,64.41,62,84.82,0,0,0,0,0,0
Tweed,101,1,East,1957,February,2,2093,7789.09,0,0,3,9.98,0,0,0,0,0,0
Tweed,101,1,East,1957,July,7,137,436.36,61,132,45,66.68,0,0,0,0,0,0
Tweed,101,1,East,1957,June,6,370,1211.55,12,24.95,53,43.54,0,0,0,0,0,0
Tweed,101,1,East,1957,March,3,2509,8906.74,1,1.36,16,44.45,0,0,0,0,0,0
Tweed,101,1,East,1957,May,5,2029,6897.33,3,6.35,23,31.75,0,0,0,0,0,0
Tweed,101,1,East,1957,November,11,638,4197.54,31,120.2,64,128.37,0,0,0,0,0,0
Tweed,101,1,East,1957,October,10,339,1832.51,9,28.58,53,117.93,0,0,0,0,0,0
Tweed,101,1,East,1957,September,9,308,1054.6,31,66.68,63,121.11,0,0,0,0,0,0
Tweed,101,1,East,1958,April,4,1648,6031.42,1,0.91,28,42.18,0,0,0,0,0,0
Tweed,101,1,East,1958,August,8,188,602.37,66,131.54,64,121.11,0,0,0,0,0,0
Tweed,101,1,East,1958,February,2,1557,6208.32,0,0,16,44.45,0,0,0,0,0,0
Tweed,101,1,East,1958,July,7,137,439.08,44,87.54,71,142.43,0,0,0,0,0,0
Tweed,101,1,East,1958,June,6,538,1865.63,12,23.13,109,180.08,0,0,0,0,0,0
Tweed,101,1,East,1958,March,3,1276,4902.43,0,0,23,37.19,0,0,0,0,0,0
Tweed,101,1,East,1958,May,5,1415,4966.84,3,5.9,18,24.49,0,0,0,0,0,0
Tweed,101,1,East,1958,November,11,571,3811.54,23,89.81,44,107.05,0,0,0,0,0,0
Tweed,101,1,East,1958,October,10,325,1875.6,16,45.36,63,163.75,0,0,0,0,0,0
Tweed,101,1,East,1958,September,9,198,811.02,29,69.4,52,100.24,0,0,0,0,0,0
Tweed,101,1,East,1959,April,4,1873,6625.62,0,0,17,29.48,0,0,0,0,0,0
Tweed,101,1,East,1959,August,8,48,132.45,4,7.26,14,15.42,0,0,0,0,0,0
Tweed,101,1,East,1959,February,2,1095,4133.13,0,0,5,9.07,0,0,0,0,0,0
Tweed,101,1,East,1959,July,7,96,286.67,5,7.71,11,16.78,0,0,0,0,0,0
Tweed,101,1,East,1959,June,6,320,997,25,56.7,48,43.09,0,0,0,0,0,0
Tweed,101,1,East,1959,March,3,1340,4792.66,5,11.34,19,31.3,0,0,0,0,0,0
Tweed,101,1,East,1959,May,5,1592,5618.2,1,1.81,9,14.06,0,0,0,0,0,0
Tweed,101,1,East,1959,November,11,577,4085.05,7,25.4,64,123.83,0,0,0,0,0,0
Tweed,101,1,East,1959,October,10,549,3698.14,11,30.39,40,79.83,0,0,0,0,0,0
Tweed,101,1,East,1959,September,9,37,135.62,5,8.16,1,0.45,0,0,0,0,0,0
Tweed,101,1,East,1960,April,4,1517,5444.47,0,0,10,10.89,0,0,0,0,0,0
Tweed,101,1,East,1960,August,8,127,407.78,15,42.18,27,27.22,0,0,0,0,0,0
Tweed,101,1,East,1960,February,2,1944,7438.46,0,0,5,11.79,0,0,0,0,0,0
Tweed,101,1,East,1960,July,7,128,469.92,15,27.22,15,15.88,0,0,0,0,0,0
Tweed,101,1,East,1960,June,6,330,1055.96,12,24.95,67,46.72,0,0,0,0,0,0
Tweed,101,1,East,1960,March,3,3256,11965.31,1,2.27,38,66.68,0,0,0,0,0,0
Tweed,101,1,East,1960,May,5,1457,4745.48,9,18.14,11,24.04,0,0,0,0,0,0
Tweed,101,1,East,1960,November,11,1002,5816.41,61,246.75,90,209.56,0,0,0,0,0,0
Tweed,101,1,East,1960,October,10,515,2909.8,15,49.44,56,117.93,0,0,0,0,0,0
Tweed,101,1,East,1960,September,9,327,1257.81,29,77.11,21,48.99,0,0,0,0,0,0
Tweed,101,1,East,1961,April,4,1405,4924.2,0,0,15,26.76,0,0,0,0,0,0
Tweed,101,1,East,1961,August,8,160,503.03,38,78.93,20,29.48,0,0,0,0,0,0
Tweed,101,1,East,1961,February,2,1386,5128.32,0,0,38,80.29,0,0,0,0,0,0
Tweed,101,1,East,1961,July,7,133,419.12,25,49.9,22,24.49,0,0,0,0,0,0
Tweed,101,1,East,1961,June,6,263,928.5,6,9.98,45,36.74,0,0,0,0,0,0
Tweed,101,1,East,1961,March,3,1126,4016.56,1,3.18,29,51.71,0,0,0,0,0,0
Tweed,101,1,East,1961,May,5,1403,4854.8,2,4.99,10,15.42,0,0,0,0,0,0
Tweed,101,1,East,1961,November,11,1143,7150.43,55,219.09,77,171.91,0,0,0,0,0,0
Tweed,101,1,East,1961,October,10,462,2739.7,31,96.62,74,143.34,0,0,0,0,0,0
Tweed,101,1,East,1961,September,9,179,705.79,16,38.56,35,70.31,0,0,0,0,0,0
Tweed,101,1,East,1962,April,4,1254,4776.78,0,0,47,114.31,0,0,0,0,0,0
Tweed,101,1,East,1962,August,8,269,972.96,113,295.29,66,122.47,0,0,0,0,0,0
Tweed,101,1,East,1962,February,2,1227,4839.38,0,0,20,46.27,0,0,0,0,0,0
Tweed,101,1,East,1962,July,7,166,576.52,56,133.36,53,52.62,0,0,0,0,0,0
Tweed,101,1,East,1962,June,6,191,681.75,1,2.72,43,36.29,0,0,0,0,0,0
Tweed,101,1,East,1962,March,3,1044,4118.62,0,0,36,68.04,0,0,0,0,0,0
Tweed,101,1,East,1962,May,5,1312,4789.94,6,10.89,36,29.94,0,0,0,0,0,0
Tweed,101,1,East,1962,November,11,1896,11639.18,13,44.45,43,93.44,0,0,0,0,0,0
Tweed,101,1,East,1962,October,10,1039,6066.8,17,54.43,59,107.05,0,0,0,0,0,0
Tweed,101,1,East,1962,September,9,403,1852.02,38,99.34,25,48.99,0,0,0,0,0,0
Tweed,101,1,East,1963,April,4,2330,9083.64,1,1.81,61,102.51,0,0,0,0,0,0
Tweed,101,1,East,1963,August,8,304,1267.79,57,139.71,38,79.83,0,0,0,0,0,0
Tweed,101,1,East,1963,February,2,934,3933.1,0,0,21,42.64,0,0,0,0,0,0
Tweed,101,1,East,1963,July,7,228,783.35,25,50.8,18,31.3,0,0,0,0,0,0
Tweed,101,1,East,1963,June,6,662,2362.31,4,9.07,41,49.44,0,0,0,0,0,0
Tweed,101,1,East,1963,March,3,1469,6142.09,0,0,43,78.47,0,0,0,0,0,0
Tweed,101,1,East,1963,May,5,2513,9540.41,3,7.71,53,75.3,0,0,0,0,0,0
Tweed,101,1,East,1963,November,11,1000,6489.55,13,47.17,35,77.56,0,0,0,0,0,0
Tweed,101,1,East,1963,October,10,2223,14433.76,38,132.45,58,128.37,0,0,0,0,0,0
Tweed,101,1,East,1963,September,9,651,3484.95,42,130.63,34,85.73,0,0,0,0,0,0
Tweed,101,1,East,1964,April,4,1095,3809.72,0,0,71,130.63,0,0,0,0,0,0
Tweed,101,1,East,1964,August,8,150,522.99,26,58.06,33,51.71,0,0,0,0,0,0
Tweed,101,1,East,1964,February,2,1009,3801.1,0,0,46,89.81,0,0,0,0,0,0
Tweed,101,1,East,1964,July,7,39,130.63,6,11.34,31,44,0,0,0,0,0,0
Tweed,101,1,East,1964,June,6,414,1404.78,6,11.79,90,142.43,0,0,0,0,0,0
Tweed,101,1,East,1964,March,3,1069,3806.09,1,4.08,57,105.69,0,0,0,0,0,0
Tweed,101,1,East,1964,May,5,1250,4263.77,1,0.91,66,95.71,0,0,0,0,0,0
Tweed,101,1,East,1964,November,11,1578,9396.17,26,96.62,80,202.3,0,0,0,0,0,0
Tweed,101,1,East,1964,October,10,1780,9793.06,58,197.31,95,252.65,0,0,0,0,0,0
Tweed,101,1,East,1964,September,9,542,2486.14,50,141.52,31,69.4,0,0,0,0,0,0
Tweed,101,1,East,1965,April,4,1728,6169.76,5,11.34,105,193.68,0,0,0,0,0,0
Tweed,101,1,East,1965,August,8,512,1823.89,90,214.55,120,236.32,0,0,0,0,0,0
Tweed,101,1,East,1965,February,2,1212,4582.19,0,0,52,110.68,0,0,0,0,0,0
Tweed,101,1,East,1965,July,7,216,741.17,28,63.5,97,213.64,0,0,0,0,0,0
Tweed,101,1,East,1965,June,6,550,1876.97,10,24.04,76,141.97,0,0,0,0,0,0
