District_Name,Year,Species,Catch
Add,1960.0,Wild Salmon,91.0
Add,1961.0,Wild Salmon,45.0
Add,1962.0,Wild Salmon,198.0
Add,1963.0,Wild Salmon,68.0
Add,1964.0,Wild Salmon,132.0
Add,1965.0,Wild Salmon,108.0
Add,1966.0,Wild Salmon,64.0
Add,1967.0,Wild Salmon,77.0
Add,1968.0,Wild Salmon,16.0
Add,1969.0,Wild Salmon,34.0
Add,1970.0,Wild Salmon,52.0
Add,1971.0,Wild Salmon,12.0
Add,1972.0,Wild Salmon,4.0
Add,1973.0,Wild Salmon,9.0
Add,1974.0,Wild Salmon,16.0
Add,1975.0,Wild Salmon,16.0
Add,1976.0,Wild Salmon,40.0
Add,1977.0,Wild Salmon,16.0
Add,1978.0,Wild Salmon,4.0
Add,1979.0,Wild Salmon,15.0
Add,1980.0,Wild Salmon,20.0
Add,1981.0,Wild Salmon,12.0
Add,1982.0,Wild Salmon,24.0
Add,1983.0,Wild Salmon,24.0
Add,1984.0,Wild Salmon,10.0
Add,1985.0,Wild Salmon,41.0
Add,1986.0,Wild Salmon,6.0
Add,1987.0,Wild Salmon,4.0
Add,1988.0,Wild Salmon,18.0
Add,1989.0,Wild Salmon,22.0
Add,1990.0,Wild Salmon,20.0
Add,1991.0,Wild Salmon,7.0
Add,1992.0,Wild Salmon,15.0
Add,1993.0,Wild Salmon,4.0
Add,1994.0,Wild Salmon,10.0
Add,1995.0,Wild Salmon,12.0
Add,1996.0,Wild Salmon,3.0
Add,1997.0,Wild Salmon,15.0
Add,1998.0,Wild Salmon,22.0
Add,1999.0,Wild Salmon,14.0
Add,2e3,Wild Salmon,10.0
Add,2001.0,Wild Salmon,1.0
Add,2002.0,Wild Salmon,1.0
Add,2003.0,Wild Salmon,4.0
Add,2004.0,Wild Salmon,32.0
Add,2005.0,Wild Salmon,2.0
Add,2007.0,Wild Salmon,0.0
Add,2008.0,Wild Salmon,0.0
Add,2009.0,Wild Salmon,9.0
Add,2010.0,Wild Salmon,7.0
Add,2011.0,Wild Salmon,7.0
Add,2012.0,Wild Salmon,9.0
Add,2013.0,Wild Salmon,4.0
Add,2014.0,Wild Salmon,5.0
Ailort,1960.0,Wild Salmon,0.0
Ailort,1961.0,Wild Salmon,0.0
Ailort,1962.0,Wild Salmon,1.0
Ailort,1965.0,Wild Salmon,5.0
Ailort,1966.0,Wild Salmon,8.0
Ailort,1967.0,Wild Salmon,10.0
Ailort,1968.0,Wild Salmon,13.0
Ailort,1969.0,Wild Salmon,16.0
Ailort,1970.0,Wild Salmon,26.0
Ailort,1971.0,Wild Salmon,26.0
Ailort,1972.0,Wild Salmon,25.0
Ailort,1973.0,Wild Salmon,33.0
Ailort,1974.0,Wild Salmon,97.0
Ailort,1975.0,Wild Salmon,6.0
Ailort,1976.0,Wild Salmon,12.0
Ailort,1977.0,Wild Salmon,22.0
Ailort,1978.0,Wild Salmon,27.0
Ailort,1979.0,Wild Salmon,58.0
Ailort,1980.0,Wild Salmon,53.0
Ailort,1981.0,Wild Salmon,45.0
Ailort,1983.0,Wild Salmon,40.0
Ailort,1984.0,Wild Salmon,32.0
Ailort,1985.0,Wild Salmon,26.0
Ailort,1986.0,Wild Salmon,5.0
Ailort,1987.0,Wild Salmon,11.0
Ailort,1988.0,Wild Salmon,29.0
Ailort,1989.0,Wild Salmon,90.0
Ailort,1990.0,Wild Salmon,27.0
